Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,9.95,B0CT2BZ864,2024-10-26,19.99,21.99,19.86,19.86,2.5296850800206423,0,fbm,32297,9,174,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-10-27,19.99,21.99,19.86,19.86,2.5296850800206423,0,fbm,24128,,,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-10-28,19.99,21.99,19.86,19.86,2.5296850800206423,0,fbm,21081,9,174,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-10-29,19.99,21.99,19.86,19.86,2.5296850800206423,0,fbm,20296,9,174,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-10-30,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,19836,9,177,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-10-30,19.99,19.99,19.86,19.86,2.5296850800206423,0,fbm,19836,9,177,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-10-31,19.99,19.99,19.86,19.86,2.5296850800206423,0,fbm,23933,9,177,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-01,19.99,19.99,19.86,19.86,2.5296850800206423,0,fbm,18600,9,177,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-02,19.99,16.99,19.86,16.99,-12.287041817243171,-5,fba,14272,10,179,0.0,0.0,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-02,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,14272,10,179,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-03,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,14158,10,179,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-04,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,15510,9,179,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-05,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,9018,9,180,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-06,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,10901,9,180,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-07,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,8076,9,180,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-08,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,9949,10,180,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-09,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,16095,10,182,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-10,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,10964,9,182,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-11,19.99,21.59,19.86,19.86,2.5296850800206423,0,fbm,9849,8,184,1.6666666666666667,0.8166666666666641,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-12,19.99,21.59,21.2,19.99,3.2008260196179528,0,amazon,15930,8,184,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-13,19.99,21.59,21.2,19.99,3.2008260196179528,0,amazon,14894,8,187,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-14,19.99,21.59,21.2,19.99,3.2008260196179528,0,amazon,12962,8,188,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-15,19.99,21.59,21.99,19.99,3.2008260196179528,0,amazon,10189,5,188,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-16,19.99,21.59,21.99,19.99,3.2008260196179528,0,amazon,9548,4,192,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-17,19.99,21.59,21.99,19.99,3.2008260196179528,0,amazon,9466,5,192,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-18,19.99,21.59,21.99,19.99,3.2008260196179528,0,amazon,12178,5,192,1.6666666666666667,1.0333333333333292,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-19,21.99,21.59,21.99,21.59,11.461022199277227,2,fba,8342,4,192,1.6666666666666667,3.6999999999999984,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-20,21.99,21.59,21.99,21.59,11.461022199277227,2,fba,8344,5,194,1.6666666666666667,3.6999999999999984,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-21,21.99,21.59,21.99,21.59,11.461022199277227,2,fba,9071,4,194,1.6666666666666667,3.6999999999999984,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
Toys & Games,20,9.95,B0CT2BZ864,2024-11-22,21.99,21.59,21.99,21.59,11.461022199277227,2,fba,10546,5,194,1.6666666666666667,3.6999999999999984,12,0,0.0,"LEXIBOOK, Disney Stitch, Nightlight with Speaker, Colour change, Soft light, Battery operated, Blue, NS01D",,4.1,197,0,6,455,N/A,43.2967032967033
